,issueNumber,title,description,FIGDiagnostic,labels,dateMade
1405,1405,Allow skipping of .*rc modification,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my feature
Feature Details
Description:
I use a common .zshrc across multiple machines. With that said, I conditionally load fig depending on if it's installed. It would be nice if there was a configuration that could instruct fig not to modify any .*rc files; via doctor, install, etc. Without this, fig will inject configurations where I don't want them.
Also, when setting up a new machine, if this flag is implemented, it would be nice to be able to pass this to the installer. For example, when I brew install fig I would like to pass a command line argument that would skip modification.
Thanks! Love fig!
My .zshrc
# - - - - - - - - - - - - - - - - - - - -
# Load Fig (if installed)
# - - - - - - - - - - - - - - - - - - - -

if [[ -n ""$commands[fig]"" ]]; then
    source ""$HOME/.fig/shell/zshrc.pre.zsh""
fi

# - - - - - - - - - - - - - - - - - - - -
# Profiling Tools
# - - - - - - - - - - - - - - - - - - - -

PROFILE_STARTUP=false
if [[ ""$PROFILE_STARTUP"" == true ]]; then
    zmodload zsh/zprof
    # http://zsh.sourceforge.net/Doc/Release/Prompt-Expansion.html
    PS4=$'%D{%M%S%.} %N:%i> '
    exec 3>&2 2>$HOME/startlog.$$
    setopt xtrace prompt_subst
fi

# - - - - - - - - - - - - - - - - - - - -
# Zsh Core Configuration
# - - - - - - - - - - - - - - - - - - - -

# Install Functions.
export XDG_CONFIG_HOME=""$HOME/.config""
export UPDATE_INTERVAL=15

export DOTFILES=""$HOME/dotfiles""
export ZSH=""$HOME/dotfiles/zsh""

export CACHEDIR=""$HOME/.local/share""
[[ -d ""$CACHEDIR"" ]] || mkdir -p ""$CACHEDIR""

# Load The Prompt System And Completion System And Initilize Them.
autoload -Uz compinit promptinit

# Load And Initialize The Completion System Ignoring Insecure Directories With A
# Cache Time Of 24 Hours, So It Should Almost Always Regenerate The First Time A
# Shell Is Opened Each Day.
# See: https://gist.github.com/ctechols/ca1035271ad134841284
_comp_files=(${ZDOTDIR:-$HOME}/.zcompdump(Nm-20))
if (( $#_comp_files )); then
    compinit -i -C
else
    compinit -i
fi
unset _comp_files
promptinit
setopt prompt_subst

# - - - - - - - - - - - - - - - - - - - -
# ZSH Settings
# - - - - - - - - - - - - - - - - - - - -

autoload -U colors && colors    # Load Colors.
unsetopt case_glob              # Use Case-Insensitve Globbing.
setopt globdots                 # Glob Dotfiles As Well.
setopt extendedglob             # Use Extended Globbing.
setopt autocd                   # Automatically Change Directory If A Directory Is Entered.

# Smart URLs.
autoload -Uz url-quote-magic
zle -N self-insert url-quote-magic

# General.
setopt no_beep                  # Disable Beep.
setopt brace_ccl                # Allow Brace Character Class List Expansion.
setopt combining_chars          # Combine Zero-Length Punctuation Characters ( Accents ) With The Base Character.
setopt rc_quotes                # Allow 'Henry''s Garage' instead of 'Henry'\''s Garage'.
unsetopt mail_warning           # Don't Print A Warning Message If A Mail File Has Been Accessed.

# Jobs.
setopt long_list_jobs           # List Jobs In The Long Format By Default.
setopt auto_resume              # Attempt To Resume Existing Job Before Creating A New Process.
setopt notify                   # Report Status Of Background Jobs Immediately.
unsetopt bg_nice                # Don't Run All Background Jobs At A Lower Priority.
unsetopt hup                    # Don't Kill Jobs On Shell Exit.
unsetopt check_jobs             # Don't Report On Jobs When Shell Exit.

setopt correct                  # Turn On Corrections

# Completion Options.
setopt complete_in_word         # Complete From Both Ends Of A Word.
setopt always_to_end            # Move Cursor To The End Of A Completed Word.
setopt path_dirs                # Perform Path Search Even On Command Names With Slashes.
setopt auto_menu                # Show Completion Menu On A Successive Tab Press.
setopt auto_list                # Automatically List Choices On Ambiguous Completion.
setopt auto_param_slash         # If Completed Parameter Is A Directory, Add A Trailing Slash.
setopt no_complete_aliases

setopt menu_complete            # Do Not Autoselect The First Completion Entry.
unsetopt flow_control           # Disable Start/Stop Characters In Shell Editor.

# Zstyle.
zstyle ':completion:*:*:*:*:*' menu select
zstyle ':completion:*:matches' group 'yes'
zstyle ':completion:*:options' description 'yes'
zstyle ':completion:*:options' auto-description '%d'
zstyle ':completion:*:corrections' format ' %F{green}-- %d (errors: %e) --%f'
zstyle ':completion:*:descriptions' format ' %F{yellow}-- %d --%f'
zstyle ':completion:*:messages' format ' %F{purple} -- %d --%f'
zstyle ':completion:*:warnings' format ' %F{red}-- no matches found --%f'
zstyle ':completion:*:default' list-prompt '%S%M matches%s'
zstyle ':completion:*' format ' %F{yellow}-- %d --%f'
zstyle ':completion:*' group-name ''
zstyle ':completion:*' verbose yes
zstyle ':completion::complete:*' use-cache on
zstyle ':completion::complete:*' cache-path ""$HOME/.zcompcache""
zstyle ':completion:*' list-colors $LS_COLORS
zstyle ':completion:*:*:kill:*:processes' list-colors '=(#b) #([0-9]#) ([0-9a-z-]#)*=01;34=0=01'
zstyle ':completion:*' matcher-list 'm:{a-zA-Z}={A-Za-z}' 'r:|[._-]=* r:|=*' 'l:|=* r:|=*'
zstyle ':completion:*:functions' ignored-patterns '(_*|pre(cmd|exec))'
zstyle ':completion:*' rehash true

# History.
HISTFILE=""${ZDOTDIR:-$HOME}/.zhistory""
HISTSIZE=100000
SAVEHIST=5000
setopt appendhistory notify
unsetopt beep nomatch

setopt bang_hist                # Treat The '!' Character Specially During Expansion.
setopt inc_append_history       # Write To The History File Immediately, Not When The Shell Exits.
setopt share_history            # Share History Between All Sessions.
setopt hist_expire_dups_first   # Expire A Duplicate Event First When Trimming History.
setopt hist_ignore_dups         # Do Not Record An Event That Was Just Recorded Again.
setopt hist_ignore_all_dups     # Delete An Old Recorded Event If A New Event Is A Duplicate.
setopt hist_find_no_dups        # Do Not Display A Previously Found Event.
setopt hist_ignore_space        # Do Not Record An Event Starting With A Space.
setopt hist_save_no_dups        # Do Not Write A Duplicate Event To The History File.
setopt hist_verify              # Do Not Execute Immediately Upon History Expansion.
setopt extended_history         # Show Timestamp In History.

# - - - - - - - - - - - - - - - - - - - -
# Zinit Configuration
# - - - - - - - - - - - - - - - - - - - -

# Zinit Bootstrap
if [[ ! -f $HOME/.local/share/zinit/zinit.git/zinit.zsh ]]; then
    print -P ""%F{33} %F{220}Installing %F{33}ZDHARMA-CONTINUUM%F{220} Initiative Plugin Manager (%F{33}zdharma-continuum/zinit%F{220})…%f""
    command mkdir -p ""$HOME/.local/share/zinit"" && command chmod g-rwX ""$HOME/.local/share/zinit""
    command git clone https://github.com/zdharma-continuum/zinit ""$HOME/.local/share/zinit/zinit.git"" && \
        print -P ""%F{33} %F{34}Installation successful.%f%b"" || \
        print -P ""%F{160} The clone has failed.%f%b""
fi

source ""$HOME/.local/share/zinit/zinit.git/zinit.zsh""
autoload -Uz _zinit
(( ${+_comps} )) && _comps[zinit]=_zinit

# Load a few important annexes, without Turbo
zinit lucid light-mode for \
    zdharma-continuum/zinit-annex-as-monitor \
    zdharma-continuum/zinit-annex-bin-gem-node \
    zdharma-continuum/zinit-annex-patch-dl \
    zdharma-continuum/zinit-annex-rust

# - - - - - - - - - - - - - - - - - - - -
# Theme
# - - - - - - - - - - - - - - - - - - - -

# Most Themes Use This Option.
setopt promptsubst

# These plugins provide many aliases - atload''
zinit wait lucid light-mode for \
    OMZ::lib/git.zsh \
    atload""unalias grv"" \
    OMZ::plugins/git/git.plugin.zsh

# Provide A Simple Prompt Till The Theme Loads
PS1=$'\n'""~""$'\n'""➜ ""
zinit ice depth'1'
zinit light spaceship-prompt/spaceship-prompt

# - - - - - - - - - - - - - - - - - - - -
# Annexes
# - - - - - - - - - - - - - - - - - - - -

# Load a few important annexes
zinit wait lucid light-mode compile""handler"" for \
    zdharma-continuum/z-a-patch-dl \
    zdharma-continuum/z-a-as-monitor \
    zdharma-continuum/z-a-bin-gem-node \
    zdharma-continuum/z-a-submods \
    zdharma-continuum/declare-zsh

# - - - - - - - - - - - - - - - - - - - -
# Plugins
# - - - - - - - - - - - - - - - - - - - -

zinit wait lucid light-mode for \
    OMZ::lib/compfix.zsh \
    OMZ::lib/completion.zsh \
    OMZ::lib/functions.zsh \
    OMZ::lib/diagnostics.zsh \
    OMZ::lib/git.zsh \
    OMZ::lib/grep.zsh \
    OMZ::lib/key-bindings.zsh \
    OMZ::lib/misc.zsh \
    OMZ::lib/spectrum.zsh \
    OMZ::lib/termsupport.zsh \
    OMZ::plugins/git-auto-fetch/git-auto-fetch.plugin.zsh \
    OMZ::plugins/asdf/asdf.plugin.zsh \
    OMZ::plugins/brew/brew.plugin.zsh \
    OMZ::plugins/1password/1password.plugin.zsh \
    skx/sysadmin-util \
  atinit""zicompinit; zicdreplay"" \
    zdharma-continuum/fast-syntax-highlighting \
    OMZ::plugins/colored-man-pages/colored-man-pages.plugin.zsh \
    OMZ::plugins/command-not-found/command-not-found.plugin.zsh \
  atload""_zsh_autosuggest_start"" \
    zsh-users/zsh-autosuggestions \
  as""completion"" \
    OMZ::plugins/docker/_docker \
    OMZ::plugins/composer/composer.plugin.zsh \
    OMZ::plugins/pyenv/pyenv.plugin.zsh \
    atclone'op completion zsh > _op' has""op"" atpull'%atclone' id-as'1password' nocompile zdharma-continuum/null \
  as""program"" \
    from""gh-r"" mv""direnv* -> direnv"" atclone'./direnv hook zsh > zhook.zsh' atpull'%atclone' pick""direnv"" src=""zhook.zsh"" direnv/direnv

# Recommended Be Loaded Last.
zinit ice wait lucid blockf atpull'zinit creinstall -Q .'
zinit light zsh-users/zsh-completions

# Fig autocomplete
zinit ice wait lucid if'[[ -n ""$commands[fig]"" ]]';
zinit snippet $HOME/.fig/shell/zshrc.post.zsh

# - - - - - - - - - - - - - - - - - - - -
# cdr, persistent cd
# - - - - - - - - - - - - - - - - - - - -

autoload -Uz chpwd_recent_dirs cdr add-zsh-hook
add-zsh-hook chpwd chpwd_recent_dirs
DIRSTACKFILE=""$HOME/.cache/zsh/dirs""

# Make `DIRSTACKFILE` If It 'S Not There.
if [[ ! -a $DIRSTACKFILE ]]; then
    mkdir -p $DIRSTACKFILE[0,-5]
    touch $DIRSTACKFILE
fi

if [[ -f $DIRSTACKFILE ]] && [[ $#dirstack -eq 0 ]]; then
    dirstack=( ${(f)""$(< $DIRSTACKFILE)""} )
fi

chpwd() {
    print -l $PWD ${(u)dirstack} >>$DIRSTACKFILE
    local d=""$(sort -u $DIRSTACKFILE )""
    echo ""$d"" > $DIRSTACKFILE
}

DIRSTACKSIZE=20

setopt auto_pushd pushd_silent pushd_to_home

setopt pushd_ignore_dups        # Remove Duplicate Entries
setopt pushd_minus              # This Reverts The +/- Operators.

# - - - - - - - - - - - - - - - - - - - -
# User configuration
# - - - - - - - - - - - - - - - - - - - -

if [ ! -e $ZSH/config ]
then
    print -P ""%F{33}▓▒░ %F{220}Creating user configuration $ZSH/config%f""
    mkdir -p $ZSH/config
fi

foreach piece (
    exports.zsh
    aliases.zsh
    functions.zsh
    theme.zsh
) {
    if [ -e $ZSH/config/$piece ]
    then
        . $ZSH/config/$piece
    else
        print -P ""%F{33}▓▒░ %F{220}Creating $ZSH/config/$piece%f""
        touch $ZSH/config/$piece

        if [ $piece = 'aliases.zsh' ]
        then
          cat << 'PEOF' > $ZSH/config/$piece
alias ls='ls --color=auto'
alias ll='ls -alF'
alias diff='git diff --no-index'
# alias top='htop'
PEOF
        . $ZSH/config/$piece
        fi
    fi
}

# - - - - - - - - - - - - - - - - - - - -
# End Profiling Script
# - - - - - - - - - - - - - - - - - - - -

if [[ ""$PROFILE_STARTUP"" == true ]]; then
    unsetopt xtrace
    exec 2>&3 3>&-
    zprof > ~/zshprofile$(date +'%s')
fi

export ZINIT_LOADED=true",No Fig Diagnostic Found,['NEED_TO_LABEL'],"May 2, 2022, 4:05 PM PDT"
1406,1406,Completion doesn't work correctly in folder whose name contains Japanese characters,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Take a look at the screenshot below:
In spite of under マイドライブ/ directory, Fig shows directories under ~ directory.
Details:
OS Fig Shell
macOS 12.3.1 (21E258) 1.0.57 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"May 2, 2022, 7:26 PM PDT"
1407,1407,"Fig does not autocomplete ""npm run"" commands from the correct package.json-file","Description:
Using VSCode / zsh.
I have multiple projects with package.json -files and they all have their own scripts. Fig's autocomplete for npm run-command seems to always suggest commands from the wrong project. Suggestions are wrong even if running commands from the project root, ie. where the project's package.json -file is.
Details:
macOS Fig Shell
12.3.1 Version 1.0.57 (B440) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"May 3, 2022, 1:58 AM PDT"
1408,1408,Changing directory with alias causes hang,"Description:
I have a few aliases that I use to navigate the terminal , but when I use them with fig, my terminal + the fig application freezes. Than after a few seconds (around 5?) everything becomes normal.
Alias example
alias dev=""/Users/Arteezy/Developer""
Terminal -> iTerm2 + ohmyzsh
Details:
macOS Fig Shell
12.2.1 Version 1.0.57 (B440) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['awaiting user reply', 'codebase:autocomplete-app']","May 3, 2022, 6:23 AM PDT"
1409,1409,Doesn't work with aserowy/tmux.nvim,"https://github.com/aserowy/tmux.nvim
I have a problem with neovim and tmux. https://github.com/aserowy/tmux.nvim on Alacrity, It's not allowing me to navigate between the vim panels.",No Fig Diagnostic Found,"['codebase:figterm', 'type:bug']","May 3, 2022, 9:51 PM PDT"
1410,1410,Tab title changed to name of shell,"My tabs in kitty now all show 'zsh' instead of something useful.
If you're running into this issue, could you let us know:
Your terminal and shell
Any shell plugins or frameworks you're using (eg. oh my zsh)",No Fig Diagnostic Found,"['codebase:figterm', 'type:bug']","May 3, 2022, 10:00 PM PDT"
1411,1411,Unable to resume setup after closing window,I closed the window in the middle of the tutorial. Then the tutorial did not resume.,No Fig Diagnostic Found,"['codebase:macos', 'type:bug']","May 3, 2022, 10:05 PM PDT"
1412,1412,Figterm socket: Socket exists but could not connect,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
OS Fig Shell
macOS 12.3.1 (21E258) 1.0.57 -zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"May 3, 2022, 11:54 PM PDT"
1413,1413,Mislocated autocomplete window,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
In the JetBrains integration, the autocomplete window appears in the wrong location.
I've tried restarting the terminal, PyCharm, and Fig.
This does not occur in iTerm.
Details:
OS Fig Shell
macOS 12.3.1 (21E258) 1.0.57 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['None yet'],"May 4, 2022, 11:27 AM PDT"
1414,1414,Increased memory usage?,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
macOS Fig Shell
12.3.1 Version 1.0.57 (B440) /bin/bash
fig diagnostic",No Fig Diagnostic Found,"['awaiting user reply', 'codebase:autocomplete-app', 'performance']","May 4, 2022, 6:59 PM PDT"
1415,1415,bash: trap: __bp_install: invalid signal specification,"I tested a bit in Iterm2 and things seem to be working, except that I have an error message printing after each command: ""bash: trap: __bp_install: invalid signal specification"".
Waiting for more info. If this is also happening to you, please let us know!",No Fig Diagnostic Found,"['codebase:shell-integrations', 'shell:bash', 'type:bug']","May 5, 2022, 12:09 AM PDT"
1416,1416,Aliases not loading when ZSH_TMUX_AUTOSTART is enabled,User's fig doctor and fig diagnostic output looks completely normal.,No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:bug']","May 5, 2022, 1:24 AM PDT"
1417,1417,autocomplete not working for git branches,"Description:
For git autocomplete does not work as intended. I do get fine suggestions for commands but no branches.
For example git checkout does not get any branch suggenstions
Details:
OS Fig Shell
macOS 11.3.1 (20E241) 1.0.57 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['None yet'],"May 5, 2022, 4:21 AM PDT"
1418,1418,No Title Found,"Personally, I have my own why to sync dotfiles between machines, and some can not install fig, so I use the following manually.
# Fig pre block. Keep at the top of this file.
if [ -d ""$HOME/.fig"" ]; then
  source ""$HOME/.fig/shell/zshrc.pre.zsh""
fi
But fig app keeps asking me to rerun install script:
After I click to rerun, a new # Fig pre block. Keep at the top of this file. lines will be added.
Can the check be more robustly?",No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
1419,1419,Fig is not working,"Description:
After update fig, it no longer work. Fig doctor doesn't show any problem.
Details:
OS Fig Shell
macOS 12.3.1 (21E258) 1.0.57 /bin/bash
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"May 5, 2022, 10:02 AM PDT"
1420,1420,Autocomplete doesn't show up during tutorial,"If this has happened for you, please let us know your shell and any other relevant info (eg. plugins, configuration)",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:bug']","May 5, 2022, 6:43 PM PDT"
1421,1421,Init should first check if ~/.fig exists,"A lot of people commit their dotfiles into source control and use them across multiple operating systems, or machines that may not have Fig installed. Because the shell integrations are sourced unconditionally, it just prints errors for them.
This can be fixed by checking if the directory (or specific file) exists first",No Fig Diagnostic Found,"['codebase:shell-integrations', 'type:bug']","May 5, 2022, 7:20 PM PDT"
1422,1422,"When Fig is running, ""prefer tabs: always"" doesn't affect RubyMine","I have a setting under ‘General’ in OSX that says “Prefer tabs: always when opening documents”. In ruby mine, when I open a new project, it appears as a ’tab’ in the ruby mine window which I love - it keeps everything together. But, with fig running (I cannot say if this happened before the install of the ‘input method’ Im afraid) it no longer opens in a new tab, but a new window.
If I quit fig and repeat the same test, it all works as expected",No Fig Diagnostic Found,"['codebase:_UNSURE_', 'type:bug']","May 5, 2022, 8:45 PM PDT"
1423,1423,"Script run by double clicking doesn't execute, just opens terminal","I think this is related to #446 but not 100% sure since that should be resolved now.
I installed and was fine until I tried to double click a .sh script from my desktop. It just didn’t run the commands
It would open terminal and run .sh code. It just seem to skip right over it. (It opened and did nothing). It was some ssh and git commands)
Zsh native terminal app
I can't reproduce this with zsh/Terminal, but can with fish/iTerm",No Fig Diagnostic Found,"['codebase:_UNSURE_', 'type:bug']","May 5, 2022, 9:15 PM PDT"
1424,1424,fig report error on lauching,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
fig report error on lauching :
→ Launching Fig...
Unable to finish launching Fig properly
Details:
macOS Fig Shell
11.6.0 Version 1.0.57 (B440) /bin/bash
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"May 5, 2022, 11:55 PM PDT"
1425,1425,Fig popup does not open even like everything looks like is working properly,"Description:
Fig popup does not open even if I use iTerm2 or VSCode terminal or default built-in OSX terminal. I ran fig doctor but it's still not working checking out everything apparently works as expected.
Details:
OS Fig Shell
macOS 12.3.1 (21E258) 1.0.57 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"May 6, 2022, 12:37 AM PDT"
